id,image_ids,species,location,date,latitude,longitude,ind_conf
4186,6519,Trametes versicolor,"USA, California",2007-09-22,38.57526,-123.31296,86%
4193,6538;6539;6540;6541;6542;6543;6544,Coprinus comatus,"USA, Wyoming",2007-09-23,41.09652,-105.768,91%
4227,6609;6610;6620;6621;6622;6623,Mixed collection,"USA, California",2007-09-26,34.13178,-118.13652,77%
4229,6615;6616;6617;6618,Fuligo septica,"USA, California",2007-09-22,38.57526,-123.31296,92%
4249,6694,Coprinus comatus,"USA, California",2007-10-01,37.47636,-122.15484,90%
4282,6757;6758,Coprinus comatus,"USA, California",2007-10-08,38.25198,-122.625,91%
4335,6878;6879,Boletus edulis,"USA, California",2007-10-13,38.3985,-122.82732,86%
4409,6976;6977,Coprinus comatus,"Kenya, 60 km west of Nairobi",2007-10-17,0.29934,36.39204,91%
4465,7140;7141,Coprinus comatus,"USA, California",2007-10-19,38.25198,-122.625,83%
4505,7283;7284;7285;7286;7287,Lactarius indigo,"Mexico, Jalisco",2007-10-09,20.67444,-103.3326,93%
4524,7365;7366,Coprinus comatus,"USA, California",2007-10-26,38.25198,-122.625,91%
4525,7367;7368;7369,Coprinus comatus,"USA, California",2007-10-26,38.25198,-122.625,91%
4581,7512,Coprinus comatus,"USA, California",2007-11-01,38.25198,-122.625,90%
4724,7759,Coprinus comatus,"USA, California",2007-11-04,38.3985,-122.82732,83%
4756,7841,Coprinus comatus,"USA, California",2007-11-07,38.25198,-122.625,90%
4833,7975;7976;7977;7978,Amanita amerirubescens,"USA, North Carolina",2007-11-09,35.95608,-75.62952,82%
4849,8019,Trametes versicolor,"USA, California",2007-11-11,37.1241,-121.9806,86%
4857,8046;8047;8048,Amanita muscaria,"USA, California",2007-11-11,36.97578,-122.04756000000002,90%
4935,8229;8230;8231;8232,Amanita muscaria,"USA, North Carolina",2007-11-15,35.6544,-83.04912,75%
4974,8333,Coprinus comatus,"USA, California",2007-11-17,38.45394,-122.66712,90%
4994,8358,Amanita muscaria,"USA, California",2007-11-17,38.57526000000001,-123.31296,90%
4995,8359,Amanita muscaria,"USA, California",2007-11-17,38.57526,-123.31296,94%
